Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com
201600000279,16,10,31,600,5,2,1,5,6,684
201600000280,16,12,13,1730,3,1,1,1,1,288
201600000281,16,12,15,1845,5,2,1,1,6,14
201600000282,16,7,18,1515,1,2,1,1,6,55
201600000283,16,1,14,1100,1,2,2,1,3,645
201600000284,16,2,13,1530,1,2,1,2,6,57
201600000285,16,2,23,1000,1,1,2,1,3,756
201600000286,16,11,3,1030,1,2,1,1,2,598
201600000287,16,11,16,1330,1,1,1,1,3,614
201600000288,16,12,27,1830,3,2,1,8,1,393
201600000289,16,5,16,600,2,2,1,1,6,304
201600000290,16,9,11,930,1,1,1,1,6,569
201600000291,16,7,10,1715,1,1,1,1,5,803
201600000292,16,1,10,1415,1,2,1,9,6,767
201600000293,16,3,19,1215,1,2,1,1,3,767
201600000294,16,4,4,145,3,2,1,3,6,451
201600000295,16,4,13,1645,1,1,1,1,2,367
201600000296,16,4,16,200,5,2,1,1,1,767
201600000297,16,4,15,2115,3,1,1,2,1,333
201600000298,16,4,17,1115,1,1,1,1,3,269
201600000299,16,6,6,1700,1,2,1,1,6,767
201600000300,16,7,8,1230,1,2,1,1,3,138
201600000301,16,7,29,1300,1,2,1,1,1,717
201600000302,16,9,10,1045,1,1,1,1,6,835
201600000303,16,9,13,2000,2,1,1,1,1,450
201600000304,16,9,14,1830,1,2,3,1,1,519
201600000305,16,9,18,1600,1,1,1,2,5,514
201600000306,16,9,29,2145,3,1,1,2,6,686
201600000307,16,11,1,1815,2,1,1,1,3,260
201600000308,16,11,4,1300,1,1,1,1,3,767
201600000309,16,12,12,1200,1,1,1,1,3,835
201600000310,16,12,24,900,1,1,1,1,7,835
201600000311,16,2,27,1615,1,1,1,1,7,385
201600000312,16,2,29,700,1,1,1,9,6,316
201600000313,16,7,10,1900,1,1,1,1,6,785
201600000314,16,7,31,845,1,1,2,1,1,198
201600000315,16,9,5,715,1,1,1,2,7,802
201600000316,16,11,14,630,3,1,1,5,6,536
201600000317,16,11,28,915,1,1,1,1,1,61
201600000318,16,12,2,1930,5,2,1,8,3,784
201600000319,16,12,29,45,3,1,1,5,6,630
201600000320,16,4,16,1445,1,1,1,1,6,415
201600000321,16,7,10,1800,1,1,1,1,6,45
201600000322,16,7,9,1430,1,2,1,1,6,695
201600000323,16,9,27,1700,1,2,1,1,3,732
201600000324,16,9,29,1415,1,2,1,1,6,554
201600000325,16,5,13,1800,1,1,1,1,6,798
201600000326,16,8,31,1630,1,1,1,1,1,385
201600000327,16,2,23,2130,3,1,1,5,6,110
201600000328,16,4,12,1630,1,1,1,1,1,618
201600000329,16,6,25,1500,1,2,2,1,3,287
201600000330,16,8,2,1230,1,1,8,2,3,721
201600000331,16,10,29,915,1,1,1,8,1,110
201600000332,16,8,27,1400,1,2,1,1,3,776
201600000333,16,7,3,2300,5,2,1,1,6,711
201600000334,16,1,8,900,1,2,1,1,6,523
201600000335,16,1,14,815,5,2,1,3,6,523
201600000336,16,1,22,1815,5,2,1,2,3,16
201600000337,16,2,26,1945,5,2,1,1,7,16
201600000338,16,3,16,1715,1,2,1,1,3,16
201600000339,16,4,19,1230,1,1,1,1,6,540
201600000340,16,5,11,1200,1,2,1,1,3,16
201600000341,16,5,24,1415,1,2,1,1,6,16
201600000342,16,5,25,2300,5,2,6,1,3,523
201600000343,16,6,10,1900,2,1,1,1,6,384
201600000344,16,8,28,1145,1,1,1,1,3,47
201600000345,16,10,14,1745,1,1,1,2,7,366
201600000346,16,12,31,2030,3,1,1,5,6,547
201600000347,16,2,13,530,3,1,1,1,6,80
201600000348,16,2,19,1645,1,2,1,1,2,128
201600000349,16,3,8,445,3,1,3,2,3,468
201600000350,16,7,15,1315,1,1,1,1,1,128
201600000351,16,9,6,1045,1,1,1,2,1,238
201600000352,16,10,23,2045,3,1,2,3,5,787
201600000353,16,10,30,1745,2,1,2,1,3,827
201600000354,16,2,5,730,2,2,2,2,3,173
201600000355,16,10,9,1545,1,1,1,1,6,262
201600000356,16,12,10,2100,3,1,1,8,6,788
201600000357,16,12,28,1430,1,2,1,1,6,56
201600000358,16,12,27,1145,1,2,1,1,6,820
201600000359,16,7,1,1815,1,1,2,1,3,582
201600000360,16,10,8,1415,1,1,1,1,3,531
201600000361,16,11,23,930,1,2,2,1,3,453
201600000362,16,2,15,1245,1,1,1,1,1,111
201600000363,16,2,19,1845,5,2,1,1,6,602
201600000364,16,2,26,645,3,1,1,1,6,159
201600000365,16,12,4,2045,3,1,1,1,1,309
201600000366,16,1,3,100,3,1,1,3,3,290
201600000367,16,2,27,1215,1,1,1,1,1,280
201600000368,16,4,26,845,1,1,1,1,1,290
201600000369,16,6,25,1945,1,1,1,1,5,290
201600000370,16,7,18,1200,1,1,3,1,3,209
201600000371,16,11,3,1915,4,1,1,8,1,458
201600000372,16,11,11,1815,3,1,1,2,1,554
201600000373,16,11,16,1330,1,1,1,1,1,213
201600000374,16,7,25,45,3,1,1,1,6,505
201600000375,16,10,3,1500,1,1,1,1,7,186
201600000376,16,10,8,800,1,1,1,1,6,221
201600000377,16,1,28,1930,3,1,2,1,3,744
201600000378,16,5,15,1145,1,2,3,1,1,449
201600000379,16,6,12,1,4,1,1,1,6,543
201600000380,16,6,15,2245,3,1,1,2,7,585
201600000381,16,11,17,1830,1,2,3,1,6,305
201600000382,16,3,11,415,3,1,3,1,3,303
201600000383,16,4,20,730,2,1,8,7,3,397
201600000384,16,4,21,1730,1,1,1,1,3,359
201600000385,16,7,3,1115,1,1,1,1,7,614
201600000386,16,3,3,1700,1,2,3,2,1,95
201600000387,16,3,26,1030,1,1,1,1,1,95
201600000388,16,6,19,530,2,1,1,1,6,293
201600000389,16,9,23,2345,5,2,1,1,6,370
201600000390,16,1,16,1000,1,2,1,9,6,483
201600000391,16,1,22,745,2,1,1,9,7,648
201600000392,16,1,25,1345,1,1,1,1,2,287
201600000393,16,6,9,1745,1,1,2,1,3,639
201600000394,16,8,29,2345,4,1,3,1,1,756
